ID,Resume Summary,Resume Score based on Recommendations,Suspicious Wording Score,Recommendation Redundancy Score
0,"1. Resume Summary: Dedicated and enthusiastic educator with over four years of experience in education, specializing in bilingual language arts and possessing strong communication skills to build trust among students, parents, and administrators.

2. Objective: None.

3. Experience: 
- Bilingual Language Arts Sixth Grade Teacher at Company Name (2014-Present): Developed and implemented interactive learning mediums, participated in intervention plans, and implemented educational technology programs.
- Bilingual Substitute Teacher at Company Name (2014): Worked in elementary schools, provided support for teachers on leave, and substituted in various classroom programs.
- Bilingual 4th Grade Teacher at Company Name (2013-2014): Developed and implemented lesson plans, analyzed data, and cooperated with staff in planning instructional goals.
- Student Development Assistant at Company Name (2011-2012): Coordinated community tours, created data reports, and collaborated with the FWISD Vital Link program.
- Academic Advisor/ Spanish Instructor at Company Name (2010): Assisted students with college preparation and taught a hybrid course.
- Program Coordinator at Company Name (2009-2010): Oversaw the development of a start-up organization, managed a federal grant, and created community workshops.
- Math Teacher at Company Name (2009): Taught English grammar, World History, and TOEFL Prep to international students.

4. Accomplishments: 
- Received the Employee of the Month award at Tarrant County College in May 2011.
- Received the Most Inspirational Employee award as an AmeriCorps VISTA in February 2010.

5. Education: 
- Bachelor of Arts in International Studies from Northern Arizona University (2009).
- Attended Elon University for International Studies.

6. Projects: None.

7. Skills: 
- Proficient in arts, English, instruction, Latin, letters, Logic, materials, math, presentations, progress, promotion, Read, research, Spanish, Spanish language, strategy, supervisor, teacher, tutoring, VISTA, and workshops.
- Fluent in English and Spanish.",8.0,8,0.0
1,"1. Resume Summary: The candidate is a Mortgage Banking Default Operations Specialist II with over 10 years of experience in mortgage banking, customer service, and operations management. They possess strong skills in communication, problem-solving, and leadership, with expertise in mortgage default operations, customer service, and team management.

2. Objective: Seeking a challenging position where they can utilize their customer service, troubleshooting, communication, and problem-solving skills towards growth and advancement within a prestigious company.

3. Experience: 
- Mortgage Banking Default Operations Specialist II at Company Name (February 2015 to Current): Responds to internal inquiries, facilitates gathering of underwriting documents, conducts research on mortgage files, and communicates with borrowers' attorneys.
- Audio-Visual Technician at Company Name (May 2014 to Current): Sets up and strikes general session/meeting room exhibit labor, coordinates technical crews, and operates multi-media equipment.
- Closing Specialist I at Company Name (May 2013 to October 2013): Liaised between vendors, lenders, attorneys, and borrowers for refinance closing files.
- Corporate Trainer at Company Name (July 2009 to January 2011): Conducted training needs analysis, developed training programs, and facilitated training classes.
- Mortgage Loan Processor II at Company Name (January 2011 to January 2012): Processed conventional and non-conventional loans, managed a daily pipeline, and developed reporting.
- Manager, Customer Service at Company Name (January 2012 to May 2013): Managed a team of 15 associates, coached new hires, and created procedures for servicing and foreclosure guidelines.
- Team Leader at Company Name (October 2006 to October 2008): Provided superior customer service, managed multiple projects, and resolved customer complaints.
- Operations Assistant at Company Name (January 2006 to January 2008): Assisted with preventative maintenance, troubleshooted hardware and software issues, and reviewed surveys from quality assurance.
- Quality Assist at Company Name (January 2005 to January 2006): Accurately measured vinyl siding, trained new employees, and assisted in quality control.

4. Accomplishments: None.

5. Education: 
- Currently attending the University of North Texas.
- Associate Degree in Computer Networking from Remington College (2008).

6. Projects: None.

7. Skills: 
- Proficient in Adobe Creative Cloud, Photoshop, InDesign, Excel, MS Word, and Right Fax.
- Experienced in customer service, decision-making, equity, senior management, help desk, inventory control, IP, lighting, Linux, litigation, managing, materials, meetings, multi-media, processes, quality, quality assurance, quality control, reporting, research, sales manager, sound, surveys, training programs, underwriting, video, and VOIP.",8.0,8,0.0527643784786642
2,"1. Resume Summary: Diana Dimas is a fitness professional with over 15 years of experience in personal training, group exercise instruction, and fitness supervision. She holds certifications in various group exercise formats and has experience in teaching and supervising fitness staff.

2. Objective: None

3. Experience: 
- Guest Lecturer at North Park University (2013-2014), teaching Strength and Conditioning, Personal Health, and Introduction to Sports Management.
- Fitness Supervisor at Galter LifeCenter (2014-Current), responsible for supervising fitness staff, hiring and training, and evaluating fitness specialists and interns.
- Fundamental Fitness Instructor at Galter LifeCenter, teaching exercise and fitness principles to beginners and adults with chronic diseases.
- Personal Trainer at Galter LifeCenter (2011-Current), providing one-on-one training and fitness guidance.

4. Accomplishments: None

5. Education: 
- M.A. in Physical Education from North Park University (2011)
- B.A. in Psychology and Sports Medicine Fitness Management from North Park University (2003)

6. Projects: None

7. Skills: 
- Group exercise instruction (BOSU, Schwinn Cycling, Group Power, etc.)
- Personal training
- Fitness supervision
- Staff management and training
- Quality control and safety
- Languages: English (fluent) and Spanish (basic competence)",8.0,8,0.09281385281385282
3,"1. Resume Summary: The candidate is a highly experienced accountant with over 10 years of experience in accounting, procurement, and financial management. They possess strong skills in QuickBooks, SQL, SAP, and AS400, as well as proficiency in Microsoft Office. They have a strong educational background in accounting and business economics.

2. Objective: None

3. Experience: 
- Accountant at Company Name (November 2013 to Current): Sources items, creates auditing processes, selects bank statements, ensures three-way matches, performs data analysis, and prepares financial statements.
- QA/Mobile Software Tester at Company Name (September 2010 to May 2013): Audited testing processes, identified bugs, and developed test plans.
- Procurement Specialist at Company Name (April 2006 to January 2010): Served as lead buyer, interacted with clients, handled customer service, and managed sourcing initiatives.
- Freight Planning Contact at Company Name (August 2005 to April 2006): Coordinated logistic arrangements, managed clients' travel, and responded to requests.

4. Accomplishments: None

5. Education: 
- La Salle University (2015): Master's in Fraud and Forensic Accounting
- University of Phoenix (2011): MBA in Accounting
- Pennsylvania State University (2005): Bachelor of Science in Business Economics, International Business, and French
- Paris Chamber of Commerce (2005): Certification
- FMA Institute (2011): Certified Nonprofit Accounting Professional (CNAP)

6. Projects: None

7. Skills: 
- Accounting
- Auditing
- Bank reconciliations
- AS400
- SAP
- SQL
- QuickBooks
- Microsoft Office (including Word, Excel, and Access)
- Data analysis
- Financial statements
- Inventory management
- CRM
- Strategic sourcing
- Fluent in French",8.0,8,0.37444650587507733
4,"1. Resume Summary: Virginia Francis is a detail-oriented Staff Accountant with over 10 years of experience in managing complex accounting functions, reconciling accounts, and supervising accounting staff. She has expertise in general ledger accounting, account reconciliation, and financial reporting.

2. Objective: Seeking a senior accounting role that utilizes her skills in financial management, team leadership, and process improvement.

3. Experience: 
- Staff Accountant at Cypress Healthcare Partners (2010-Present): Managed monthly financials for seven medical groups, reconciled bank statements, and processed financial entries.
- Administrative Assistant at state-operated military academy (2008-2009): Directed staff, managed accounting, budgeting, HR, and administrative responsibilities.
- Accounting Supervisor I at Department of Military and Veterans' Affairs (2007-2008): Supervised accounting staff, reviewed and certified AP and travel expenses.
- Accounting Technician II at Department of Military and Veterans' Affairs (2002-2008): Completed complex accounting adjustments, created detailed spreadsheets, and ensured payment of child support.

4. Accomplishments: Simplified accounting procedures for staff, improving productivity and reducing processing time.

5. Education: 
- Bachelor of Business Administration in Business Administration/Accounting from University of Anchorage Alaska (2009), GPA 3.0
- Associate of Science in General from Umpqua Community College (2000), GPA 3.4
- Associate of Applied Science in Electronics from Umpqua Community College (2000), GPA 3.4

6. Projects: None

7. Skills: 
- Proficient in Adobe software, MAS 90, and Sage Software
- Advanced computer proficiency
- Strong organizational skills
- Expert in customer relations
- Complex problem-solving skills
- Effective time management skills",9.0,8,0.02782931354359926
5,"1. Resume Summary: The candidate is a detail-oriented human resources professional with experience in leadership development, performance management, and talent assessments. They excel in streamlining processes and have excellent interpersonal and coaching skills.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- HR - Shared Services Supervisor at Company Name (2014 - present): Provides leadership development and performance management to a team of associates, engages in strategic planning, and partners with associates to create and execute development plans.
- Operations Manager at Company Name (2013 - 2014): Oversaw center-wide recruiting, selecting, training, assigning, scheduling, coaching, counseling, monitoring, appraising, and disciplining employees.
- Action Response Team Supervisor at Company Name (2011 - 2013): Resolved complex customer issues, managed the Action Response Team function, and analyzed department satisfaction results.
- New Hire Supervisor at Company Name (2005 - 2011): Responsible for staffing the call center, provided training to new hires, and developed and organized testing, training, evaluation procedures.

4. Accomplishments: Implemented a background check matrix for the vendor to streamline the background process during onboarding.

5. Education: 
- Bachelor of Arts in Psychology from Ashford University (2015) with a GPA of 3.73
- Human Resources Management certificate
- Healthcare Management certificate

6. Projects: None (The resume does not mention any specific projects the candidate has worked on.)

7. Skills: 
- Administrative
- Benchmarking
- Budgets
- Call center
- Coaching
- Counseling
- Customer Satisfaction
- Customer-service
- Client support
- Database
- Designing
- Financial
- Focus
- Forecasting
- Functional
- Hiring
- Human Resources
- Instructor
- Leadership
- Leadership development
- Materials
- Multimedia
- Enterprise
- Payroll processing
- Performance management
- Policies
- Process improvement
- Processes
- Quality
- Recruiting
- Scheduling
- Staffing
- Strategy
- Strategic planning
- Trainer
- Employee development
- Employee training
- Training programs",8.0,8,0.02493506493506494
6,"1. Resume Summary: The candidate is an experienced Organizer and Capacity Building Strategist with over 15 years of experience in advocating for people with disabilities, special education, and civil rights. They have a strong background in developing strategies, providing technical assistance, and training programs for clients and organizations.

2. Objective: None (However, based on the candidate's experience and skills, it can be inferred that they are seeking a role that utilizes their expertise in advocacy, capacity building, and community organizing, possibly in a leadership or senior position.)

3. Experience: 
- Organizer and Capacity Building Strategist (2011-Present): Developed strategies and provided technical assistance for clients to obtain positive outcomes, convened member organizations to develop statewide action strategies, and provided training and technical assistance to advance policy.
- Special Education Advocate (2009-2011): Researched client issues, managed legal correspondence, and strategized positive outcomes with attorneys and staff.
- Community Organizer/Founder (2000-2011): Wrote grant proposals, business plans, and press releases, organized constituents around special education, environmental, and health issues, and collaborated with local community leaders and organizations.
- Community Organizer (2008-2009): Trained constituents on civil rights and education issues, promoted self-determination of families and communities, and collaborated with community leaders and organizations.
- Legal Advocate (2006-2008): Trained constituents on disability and special education rights, managed caseload of clients with disability-related issues, and strategized positive outcomes with attorneys and staff.
- Family Advocate (2004-2006): Developed and presented workshops for professionals, worked with homeless families to obtain housing, and facilitated cooperative working relationships with other agencies.

4. Accomplishments: 
- Secured over $100,000 in funding for parent advocacy training programs.
- Developed and taught advocacy skills training program to over 300 parents annually.
- Featured in various publications and recognized as an ""Inspiring Latina"" by Latina Magazine.
- Received the Ernst and Young Social Entrepreneur of the Year Finalist award in 2004.

5. Education: 
- JD in Organizational Communication and Nonprofit Management from St. Edward's University People's College of Law (2007)

6. Projects: None (However, the candidate has worked on various projects and initiatives throughout their career, including developing advocacy materials, organizing actions and campaigns, and providing training and technical assistance to clients and organizations.)

7. Skills: 
- Agency management
- Attorney relations
- Business plan development
- Consulting
- Client management
- Grant proposal writing
- Legal research
- Materials development
- Organizing and strategy development
- Policy analysis
- Press release writing
- Problem-solving skills
- Research and analysis
- Technical assistance and training program development
- Workshop facilitation",8.0,8,0.0
7,"1. Resume Summary: 
The candidate is a Human Resource Professional with hands-on experience in hiring, training, orientating, and developing employees. They have an academic background in Human Resources Management and have managed 63 employees in a fast-growing organization.

2. Objective: 
None (However, based on the candidate's experience and skills, it can be inferred that they are seeking a senior HR role to lead HR functions and contribute to organizational growth.)

3. Experience: 
- HR Director at Company Name (January 2014 to January 2015): Managed HR functions, including recruitment, training, employee relations, and benefits administration.
- Administrator at Company Name (January 2010 to January 2014): Assisted in HR functions, including recruitment, employee relations, and benefits administration.
- Event Specialist at Company Name (January 2005 to January 2008): Coordinated events and assisted in HR functions.
- Assistant Director at Company Name (January 1996 to January 2005): Assisted in HR functions, including recruitment, employee relations, and benefits administration.

4. Accomplishments: 
- Devised a successful recruiting plan, resulting in 25 new employees in 2 months.

5. Education: 
- Webster University (2015): Completed coursework in Human Resources Management, Management and Leadership, and Business Administration.
- Benedict College (2013): Bachelor of Science in Business Administration, Management Honors Graduate Cum Laude.

6. Projects: 
None (However, the candidate has worked on various HR projects, including recruitment, training, and employee relations initiatives.)

7. Skills: 
- Proficient in Microsoft Office (Word, Excel, Outlook, PowerPoint, Publisher)
- HRIS Systems (PeopleSoft)
- QuickBooks
- Data Input
- Analytical Skills
- Interpersonal Skills
- Organizational Skills
- Communication Skills
- Recruiting and Staffing
- Performance Management
- Employee Relations
- Policy and Procedure Writing
- Staff Supervision
- Employee Records System
- On-the-job Training
- Job Analysis
- Labor Laws
- Labor Policies
- Equal Employment Opportunity
- Interviewing
- Discipline Issues
- Social Networking
- Recruitment Advertising
- Campus Recruiting
- OSHA Standards
- Employee Grievance
- Employee Verification
- Screen/Schedule Candidates
- Community Outreach",9.0,8,0.23510204081632655
8,"1. Resume Summary: Detail-oriented educator with over 12 years of experience in Higher Education, skilled in designing curriculum and integrating technology in meaningful ways. Seeking a position as an Instructional Design professional to organize, plan, and implement effective educational practices.

2. Objective: Seeking a position as an Instructional Design professional where I can organize, plan, and implement effective educational practices, utilizing my skills in curriculum design and technology integration.

3. Experience: 
- Special Instructor of Composition Administration (June 2008 to Current): Designed first-year Composition curriculum, created a common College Composition course shell template using Canvas, and trained new instructors.
- English Instructor (January 2007 to May 2008): Planned, implemented, and assessed various Composition courses, and designed professional development opportunities.
- Graduate Teaching Assistant (January 2005 to December 2006): Taught College Research, Freshmen Composition, and 20th Century British Literature, and collaborated with instructors on curriculum needs.
- Language Arts Teacher (August 2002 to July 2004): Taught English, Creative Writing, and Argumentation, and sponsored the Forensics Speech and Debate Team.

4. Accomplishments: 
- Modified documents to meet ADA regulations.
- Developed materials for the Early Performance program.
- Published several articles and presented at conferences, including ""Pathways to Academic Student Success"" and ""Student Perceptions of Power Behind the Podium.""
- Received the Dean's Citation of Excellence Award and was nominated for the Dean's Outstanding Thesis Award.

5. Education: 
- Master of Arts in English, University of Northern Colorado (December 2006), GPA: Recipient of Dean's Citation of Excellence Award.
- Bachelor of Arts in English Education, Colorado State University (December 2001), GPA: Cum Laude.
- Certificate for Teaching with Technology and Distance Learning, Colorado State University Online Plus.

6. Projects: None.

7. Skills: 
- Proficient in ADA, Canvas, instructional design, critical thinking, documentation, drafting, English, essays, fiction, focus, funds, instruction, mentor, organizing, persuasion, poetry, progress, recruiting, research, shell, short stories, speech, teaching, time management, workshops, and writing skills.",8.0,8,0.12687693259121832
9,"1. Resume Summary: The candidate is a skilled relationship-builder with over 10 years of experience in customer service, specializing in banking and benefits. They possess excellent communication and problem-solving skills, with a strong focus on customer satisfaction.

2. Objective: None.

3. Experience: 
- Member Services Representative at OPERS (2015 - Current): Responds to inbound telephone inquiries, provides benefit information, and promotes self-service and benefit awareness.
- Risk Operations Analyst II at JP Morgan Chase (2014 - 2015): Pinpointed fraud trends, researched monetary transactions, and collaborated across lines of business to serve customers.
- Risk Operations Analyst at JP Morgan Chase (2013 - 2014): Answered high-volume incoming calls, detected fraud, and provided peer coaching.
- Senior Service Specialist at JP Morgan Chase (2012 - 2013): Enforced relief to customers, investigated and solved complex problems, and maintained accurate records.
- Customer Service Specialist at JP Morgan Chase (2010 - 2012): Remained up to date on product developments, participated in special projects, and demonstrated professional phone skills.
- Customer Service Specialist at Meijer (2004 - 2010): Monitored checkout stations, counted money, and assisted customers.
- Intern at an unnamed company (2008): Developed packets containing information about social service agencies and wrote reports describing offenders' progress.

4. Accomplishments: 
- Ranked among the top 10% advisers in Telephone Banking in 2011 and 2012 (JP Morgan Chase).
- Received the ""Best of the Best"" Award for Outstanding Customer Service in 2012 (JP Morgan Chase).
- Ranked in the top 5 of Columbus Fraud Analysts with zero bottom box in 2013 and 2014 (JP Morgan Chase).

5. Education: 
- Associate of Arts in Criminal Justice Sociology from Wright State University (2008).

6. Projects: None.

7. Skills: 
- Analyst, banking, benefits, cashier, CD, coach, coaching, com, credit, clients, customer service, debit, email, issue receipts, legal, meetings, access, money, mortgage loans, navigation, policies, processes, progress, quality, reading, surveys, tax, telephone, phone skills, phone, trouble shooting, website.",8.0,8,0.034063079777365494
